,Drink ID,Name,Category,Alcoholic,Glass,Ingredients,Measure
187,17006,Kool First Aid,Shot,True,shot glass,"['151 proof rum', 'Kool-Aid']","['2 oz light ', '1/2 tsp Tropical ']"
188,11602,Kentucky B And B,Ordinary Drink,True,brandy snifter,"['Bourbon', 'Benedictine']","['2 oz ', '1/2 oz ']"
189,11604,Kentucky Colonel,Ordinary Drink,True,cocktail glass,"['Bourbon', 'Benedictine', 'Lemon peel']","['3 oz ', '1/2 oz ', '1 twist of ']"
190,14446,Kool-Aid Slammer,Shot,True,shot glass,"['Kool-Aid', 'Vodka']","['1/2 oz Grape ', '1/2 oz ']"
191,12714,Kiwi Papaya Smoothie,Other/Unknown,False,highball glass,"['Kiwi', 'Papaya']","['3 ', '1/2 ']"
192,12704,Limeade,Other/Unknown,False,highball glass,"['Lime', 'Sugar', 'Soda water', 'Lime peel']","['Juice of 1 ', '1 tblsp ', ' (seltzer water)\n', None]"
193,14378,Lunch Box,Beer,True,pint glass,"['Beer', 'Amaretto', 'Orange juice']","['3/4 bottle ', '1 shot ', '1 oz ']"
194,12752,Lemon Shot,Shot,True,shot glass,"['Galliano', 'Absolut Citron', 'Lemon', 'Sugar', '151 proof rum']","['1/2 oz ', '1/2 oz ', ' wedge\n', 'Bacardi ', None]"
195,13196,Long vodka,Ordinary Drink,True,highball glass,"['Vodka', 'Lime', 'Angostura bitters', 'Tonic water', 'Ice']","['5 cl ', '1/2 ', '4 dashes ', '1 dl Schweppes ', '4 ']"
196,14366,Lemon Drop,Cocktail,True,cocktail glass,"['Absolut Vodka', 'Cointreau', 'Lemon']","['1 1/2 shot ', '1 1/2 shot ', 'Juice of 1 wedge ']"
197,11658,Loch Lomond,Ordinary Drink,True,cocktail glass,"['Scotch', 'Drambuie', 'Dry Vermouth', 'Lemon peel']","['2 oz ', '1/2 oz ', '1/2 oz ', '1 twist of ']"
198,11662,London Town,Ordinary Drink,True,cocktail glass,"['Gin', 'Maraschino liqueur', 'Orange bitters']","['1 1/2 oz ', '1/2 oz ', '2 dashes ']"
199,12692,Lassi Khara,Other/Unknown,False,highball glass,"['Yoghurt', 'Water', 'Salt', 'Asafoetida']","['1 cup ', '2 cups cold ', '1 tsp ', '1 pinch ']"
200,12694,Lassi Raita,Other/Unknown,False,highball glass,"['Yoghurt', 'Ice', 'Sugar', 'Lime', 'Salt']","['2 cups ', '4-6 ', None, None, None]"
201,12702,Lemouroudji,Other/Unknown,False,highball glass,"['Ginger', 'Water', 'Lemon', 'Sugar', 'Cayenne pepper']","['2 pieces ', '1 gal ', '1 lb ', '1 cup ', 'ground ']"
202,11670,Lord And Lady,Ordinary Drink,True,old-fashioned glass,"['Dark rum', 'Tia maria']","['1 1/2 oz ', '1/2 oz ']"
203,12696,Lassi - Sweet,Other/Unknown,False,highball glass,"['Yoghurt', 'Water', 'Sugar', 'Salt', 'Lemon juice']","['1 cup ', '2 cups cold ', '4 tblsp ', 'pinch ', '2 tblsp ']"
204,12698,Lassi - Mango,Other/Unknown,False,highball glass,"['Mango', 'Yoghurt', 'Sugar', 'Water']","['2 ', '2 cups ', '1/2 cup ', '1 cup iced ']"
205,15086,Limona Corona,Beer,True,beer glass,"['Corona', 'Bacardi Limon']","['1 bottle ', '1 oz ']"
206,11634,Lady Love Fizz,Ordinary Drink,True,cocktail glass,"['Gin', 'Light cream', 'Powdered sugar', 'Lemon', 'Egg white', 'Carbonated water']","['2 oz ', '2 tsp ', '1 tsp ', 'Juice of 1/2', '1 ', None]"
207,11002,Long Island Tea,Ordinary Drink,True,highball glass,"['Vodka', 'Light rum', 'Gin', 'Tequila', 'Lemon', 'Coca-Cola']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', 'Juice of 1/2 ', '1 splash ']"
208,11666,Lone Tree Cooler,Ordinary Drink,True,collins glass,"['Carbonated water', 'Gin', 'Dry Vermouth', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","[None, None, None, None, None, None]"
209,11664,Lone Tree Cocktail,Ordinary Drink,True,cocktail glass,"['Sweet Vermouth', 'Gin']","['3/4 oz ', '1 1/2 oz ']"
210,17204,Long Island Iced Tea,Ordinary Drink,True,highball glass,"['Vodka', 'Tequila', 'Light rum', 'Gin', 'Coca-Cola', 'Lemon peel']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1 dash ', 'Twist of ']"
211,12776,Melya,Coffee / Tea,False,coffee mug,"['Espresso', 'Honey', 'Cocoa powder']","[None, 'Unsweetened ', None]"
212,11000,Mojito,Cocktail,True,highball glass,"['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']","['2-3 oz ', 'Juice of 1 ', '2 tsp ', '2-4 ', None]"
213,17205,Mimosa,Ordinary Drink,True,champagne flute,"['Champagne', 'Orange juice']","['Chilled ', '2 oz ']"
214,11690,Mai Tai,Ordinary Drink,True,collins glass,"['Light rum', 'Orgeat syrup', 'Triple sec', 'Sweet and sour', 'Cherry']","['1 oz ', '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 ']"
215,11728,Martini,Cocktail,True,cocktail glass,"['Gin', 'Dry Vermouth', 'Olive']","['1 2/3 oz ', '1/3 oz ', '1 ']"
216,11007,Margarita,Ordinary Drink,True,cocktail glass,"['Tequila', 'Triple sec', 'Lime juice', 'Salt']","['1 1/2 oz ', '1/2 oz ', '1 oz ', None]"
217,11008,Manhattan,Cocktail,True,cocktail glass,"['Sweet Vermouth', 'Bourbon', 'Angostura bitters', 'Ice', 'Maraschino cherry', 'Orange peel']","['3/4 oz ', '2 1/2 oz Blended ', 'dash ', '2 or 3 ', '1 ', '1 twist of ']"
218,15841,Mojito #3,Cocktail,True,collins glass,"['Mint', 'Lemon juice', 'Dark rum', 'Club soda', 'Angostura bitters']","['1/2 handful ', '3 cl ', '1/8 L Jamaican ', '1/8 L ', '8 drops ']"
219,13936,Miami Vice,Cocktail,True,cocktail glass,"['151 proof rum', 'Pina colada mix', 'Daiquiri mix']","['5 oz Bacardi ', 'frozen ', 'frozen ']"
220,16041,Mudslinger,Punch / Party Drink,True,punch bowl,"['Southern Comfort', 'Orange juice', 'Pepsi Cola']","['750 ml ', '1 L ', '750 ml ']"
221,16196,Moranguito,Shot,True,shot glass,"['Absinthe', 'Tequila', 'Grenadine']","['2/5 ', '2/5 ', '1/5 ']"
222,17206,Mint Julep,Ordinary Drink,True,collins glass,"['Mint', 'Bourbon', 'Powdered sugar', 'Water']","['4 fresh ', '2 1/2 oz ', '1 tsp ', '2 tsp ']"
223,17256,Martinez 2,Cocktail,True,cocktail glass,"['Gin', 'Sweet Vermouth', 'Maraschino Liqueur', 'Angostura Bitters']","['1 1/2 oz', '1 1/2 oz', '1 tsp', '2 dashes']"
224,12774,Masala Chai,Coffee / Tea,False,coffee mug,"['Water', 'Tea', 'Ginger', 'Cardamom', 'Cloves', 'Cinnamon', 'Black pepper', 'Sugar', 'Milk']","['2 cups ', '3-4 tsp ', '1 chunk dried ', '3-4 crushed ', '3 ', '1 piece ', '1-2 whole ', ' to taste\n', None]"
225,12988,Mulled Wine,Punch / Party Drink,True,collins glass,"['Water', 'Sugar', 'Cloves', 'Cinnamon', 'Lemon peel', 'Red wine', 'Brandy']","['3 cups ', '1 cup ', '12 ', '2 ', '1 ', '750 ml ', '1/4 cup ']"
226,11009,Moscow Mule,Punch / Party Drink,True,copper mug,"['Vodka', 'Lime juice', 'Ginger ale']","['2 oz ', '2 oz ', '8 oz ']"
227,14209,Mocha-Berry,Coffee / Tea,True,irish coffee cup,"['Coffee', 'Chambord raspberry liqueur', 'Cocoa powder', 'Whipped cream']","['6 oz ', '2 oz ', '2 tblsp ', None]"
228,178315,Munich Mule,Cocktail,True,highball glass,"['Gin', 'Lime Juice', 'Ginger Beer', 'Cucumber', 'lemon', '', '']","['5 cl', '2 cl', '10 cl', 'Chopped', 'Chopped', '', '']"
229,17189,Monkey Gland,Ordinary Drink,True,cocktail glass,"['Gin', 'Benedictine', 'Orange juice', 'Grenadine']","['2 oz ', '1 tsp ', '1/2 oz ', '1 tsp ']"
230,11798,Monkey Wrench,Ordinary Drink,True,old-fashioned glass,"['Light rum', 'Grapefruit juice', 'Bitters']","['1 1/2 oz ', '3 oz ', '1 dash ']"
231,13825,Midnight Manx,Ordinary Drink,True,old-fashioned glass,"['Kahlua', 'Baileys irish cream', 'Goldschlager', 'Heavy cream', 'Coffee']","['1 oz ', '1 oz ', 'dash ', '2 oz ', '2 oz Hazlenut ']"
232,14053,Mother's Milk,Shot,True,shot glass,"['Goldschlager', 'Butterscotch schnapps', 'Milk']","['1 oz ', '1 oz ', '1 oz ']"
233,14842,Midnight Mint,Cocktail,True,cocktail glass,"['Baileys irish cream', 'White Creme de Menthe', 'Cream']","['1 oz ', '3/4 oz ', '3/4 oz double ']"
234,17188,Mary Pickford,Cocktail,True,cocktail glass,"['Light rum', 'Pineapple juice', 'Maraschino liqueur', 'Grenadine', 'Maraschino cherry']","['1 1/2 oz ', '1 oz ', '1/2 tsp ', '1/2 tsp ', '1 ']"
235,11003,Negroni,Ordinary Drink,True,old-fashioned glass,"['Gin', 'Campari', 'Sweet Vermouth']","['1 oz ', '1 oz ', '1 oz ']"
236,11844,New York Sour,Ordinary Drink,True,old-fashioned glass,"['Blended whiskey', 'Lemon', 'Sugar', 'Red wine', 'Lemon', 'Cherry']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', ' (Claret)\n', None, None]"
237,13861,Nutty Irishman,Milk / Float / Shake,True,highball glass,"['Baileys irish cream', 'Frangelico', 'Milk']","['1 part ', '1 part ', '1 part ']"
238,13192,National Aquarium,Ordinary Drink,True,collins glass,"['Rum', 'Vodka', 'Gin', 'Blue Curacao', 'Sour mix', 'Lemon-lime soda']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '2 oz ', '1 splash ']"
239,13204,New York Lemonade,Cocktail,True,cocktail glass,"['Absolut Citron', 'Grand Marnier', 'Lemon juice', 'Club soda']","['2 oz ', '1 oz ', '2 oz sweetened ', '1 oz ']"
